success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,Algorithm,Seed,Task
1,0.9,11,0,0.0,4.0,0.0019762047264851967,Map-Conditioned Improved Failure-Memory Diffusion,0,task_04
1,0.94,7,0,0.0,0.0,0.0019355358589174493,Map-Conditioned Improved Failure-Memory Diffusion,0,task_04
1,0.9,11,0,0.0,4.0,0.001949795454327779,Map-Conditioned Improved Failure-Memory Diffusion,0,task_04
1,0.92,9,0,0.0,2.0,0.0019835647771186712,Map-Conditioned Improved Failure-Memory Diffusion,0,task_04
1,0.88,13,0,0.0,6.0,0.0019483269973604295,Map-Conditioned Improved Failure-Memory Diffusion,0,task_04
0,-1.03,4,1,0.0,,1.0939984349533916e-06,Random Policy,0,task_05
0,-1.01,2,1,0.0,,1.124994014389813e-06,Random Policy,0,task_05
0,-1.03,4,1,0.0,,8.747447282075882e-07,Random Policy,0,task_05
0,-1.01,2,1,0.0,,9.170034900307655e-07,Random Policy,0,task_05
0,-1.01,2,1,0.0,,9.795039659366012e-07,Random Policy,0,task_05
1,0.96,5,0,0.0,0.0,2.918008249253035e-07,Value Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.3359822332859038e-07,Value Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.2519885785877705e-07,Value Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.1660158634185791e-07,Value Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.1660158634185791e-07,Value Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.8339778762310743e-07,Policy Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.0859803296625614e-07,Policy Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.7500133253633976e-07,Policy Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.167994923889637e-07,Policy Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.0879884939640761e-07,Policy Iteration,0,task_05
1,0.96,5,0,0.0,0.0,1.2086034985259176e-06,Q-learning,0,task_05
1,0.96,5,0,0.0,0.0,9.248004062101245e-07,Q-learning,0,task_05
1,0.96,5,0,0.0,0.0,8.583941962569952e-07,Q-learning,0,task_05
1,0.96,5,0,0.0,0.0,8.077971870079637e-07,Q-learning,0,task_05
1,0.96,5,0,0.0,0.0,8.49796924740076e-07,Q-learning,0,task_05
1,0.96,5,0,0.0,0.0,0.0008085419947747141,MCTS,0,task_05
1,0.94,7,0,0.0,2.0,0.0008513451424992777,MCTS,0,task_05
1,0.96,5,0,0.0,0.0,0.0007805500004906208,MCTS,0,task_05
1,0.92,9,0,0.0,4.0,0.0007815184443542319,MCTS,0,task_05
1,0.96,5,0,0.0,0.0,0.0008465999999316409,MCTS,0,task_05
0,-1.01,2,1,0.0,,0.0014931869955034927,Map-Conditioned Standard Diffusion,0,task_05
0,-1.01,2,1,0.0,,0.0013656045048264787,Map-Conditioned Standard Diffusion,0,task_05
1,0.96,5,0,0.0,0.0,0.001321108196862042,Map-Conditioned Standard Diffusion,0,task_05
0,-1.03,4,1,0.0,,0.0013077605035505258,Map-Conditioned Standard Diffusion,0,task_05
0,-1.01,2,1,0.0,,0.0013047709944657981,Map-Conditioned Standard Diffusion,0,task_05
0,-1.01,2,1,0.0,,0.0013843330016243272,Map-Conditioned Failure-Memory Diffusion,0,task_05
0,-1.01,2,1,0.3333333333333333,,0.0014951045013731346,Map-Conditioned Failure-Memory Diffusion,0,task_05
1,0.96,5,0,0.3333333333333333,0.0,0.0014600833965232596,Map-Conditioned Failure-Memory Diffusion,0,task_05
0,-1.01,2,1,0.3333333333333333,,0.00141387549956562,Map-Conditioned Failure-Memory Diffusion,0,task_05
0,-1.03,4,1,0.4,,0.001412021003488917,Map-Conditioned Failure-Memory Diffusion,0,task_05
1,0.96,5,0,0.0,0.0,0.0019873168028425427,Map-Conditioned Improved Failure-Memory Diffusion,0,task_05
1,0.9,11,0,0.0,6.0,0.0019618371800540694,Map-Conditioned Improved Failure-Memory Diffusion,0,task_05
1,0.92,9,0,0.0,4.0,0.0019949767754749497,Map-Conditioned Improved Failure-Memory Diffusion,0,task_05
1,0.92,9,0,0.0,4.0,0.0020062083365499144,Map-Conditioned Improved Failure-Memory Diffusion,0,task_05
1,0.94,7,0,0.0,2.0,0.002074160856344471,Map-Conditioned Improved Failure-Memory Diffusion,0,task_05
0,-1.0,1,1,0.0,,2.1659943740814924e-06,Random Policy,0,task_06
0,-1.0,1,1,0.0,,1.624997821636498e-06,Random Policy,0,task_06
0,-1.02,3,1,0.0,,1.0553339961916208e-06,Random Policy,0,task_06
0,-1.0,1,1,0.0,,1.3749959180131555e-06,Random Policy,0,task_06
0,-1.0,1,1,0.0,,1.2920063454657793e-06,Random Policy,0,task_06
1,0.94,7,0,0.0,0.0,2.3199702679578748e-07,Value Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.4285615179687738e-07,Value Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.369979664949434e-07,Value Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.1328873889786856e-07,Value Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.4271686917969158e-07,Value Iteration,0,task_06
1,0.94,7,0,0.0,0.0,2.740000906799521e-07,Policy Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.5499660678740058e-07,Policy Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.1899932620248624e-07,Policy Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.1928620681698832e-07,Policy Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.2500095181167126e-07,Policy Iteration,0,task_06
1,0.94,7,0,0.0,0.0,1.273997310948159e-06,Q-learning,0,task_06
1,0.94,7,0,0.0,0.0,8.69142240844667e-07,Q-learning,0,task_06
1,0.94,7,0,0.0,0.0,8.514263234766466e-07,Q-learning,0,task_06
1,0.94,7,0,0.0,0.0,8.034299493634275e-07,Q-learning,0,task_06
1,0.94,7,0,0.0,0.0,8.214285896558846e-07,Q-learning,0,task_06
1,0.84,17,0,0.0,10.0,0.0007977868243709535,MCTS,0,task_06
1,0.7999999999999999,21,0,0.0,14.0,0.0006926110952571478,MCTS,0,task_06
1,0.84,17,0,0.0,10.0,0.0006128382922136499,MCTS,0,task_06
1,0.86,15,0,0.0,8.0,0.0006372223326858754,MCTS,0,task_06
1,0.94,7,0,0.0,0.0,0.0005725120032106393,MCTS,0,task_06
