success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_D,Map,Seed
0,-1.02,3,1,0.0,,0.0014296666680214305,20,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.001402694331773091,20,0.1,obstacle,0
0,-1.04,5,1,0.0,,0.0013850999996066094,20,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0013964586663253915,20,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0013944860014210765,20,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0013561389981380974,20,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0015614166671487812,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.001494569669982108,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0015145000021827097,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0015156803322800745,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0016155140013628018,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0015154859987281573,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0014930136676412076,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.001489694669241241,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0014907776640029624,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0014890553308456826,30,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0016733189986553043,40,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.001664278000437965,40,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.001661736001551617,40,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0016595140017064598,40,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0016740000016094807,40,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0016586386676256855,40,0.1,obstacle,0
0,-1.02,3,1,0.0,,0.0016570283332839608,40,0.1,obstacle,0
0,-1.04,5,1,0.0,,0.0016624495983705856,40,0.1,obstacle,0
0,-1.04,5,1,0.0,,0.0016526084014913066,40,0.1,obstacle,0
0,-1.04,5,1,0.0,,0.0016767998022260144,40,0.1,obstacle,0
0,-1.03,4,1,0.0,,0.0011402290019759675,5,0.1,deceptive,0
0,-1.0,1,1,0.0,,0.0011510000040289015,5,0.1,deceptive,0
0,-1.01,2,1,0.0,,0.001115853498049546,5,0.1,deceptive,0
0,-1.01,2,1,0.0,,0.0011276040022494271,5,0.1,deceptive,0
0,-1.01,2,1,0.0,,0.0011170629986736458,5,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011044687489629723,5,0.1,deceptive,0
0,-1.0,1,1,0.0,,0.001121083005273249,5,0.1,deceptive,0
0,-1.01,2,1,0.0,,0.0011092704990005586,5,0.1,deceptive,0
0,-1.0,1,1,0.0,,0.0011123750009573996,5,0.1,deceptive,0
0,-1.01,2,1,0.0,,0.0011084585021308158,5,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011741979997168528,10,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011573752508411417,10,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011668752504192526,10,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011580729988054372,10,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011600625002756715,10,0.1,deceptive,0
0,-1.02,3,1,0.0,,0.0011649586667772382,10,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011646147504507098,10,0.1,deceptive,0
0,-1.05,6,1,0.0,,0.0011561181672732346,10,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011545832512638299,10,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0011489374992379453,10,0.1,deceptive,0
0,-1.05,6,1,0.0,,0.0013198541673773434,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0012995627494092332,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0013140207483957056,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.001301614749536384,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.001299718996961019,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0013065312487015035,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0013175622480048332,20,0.1,deceptive,0
0,-1.03,4,1,0.0,,0.0013136662491888274,20,0.1,deceptive,0
