success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,lambda_D,Map,Seed
0,-1.03,4,1,0.0,,0.0011199269974895287,5.0,deceptive,0
0,-1.0,1,1,0.0,,0.001124250004068017,5.0,deceptive,0
0,-1.03,4,1,0.0,,0.001111510497139534,5.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011260839964961633,5.0,deceptive,0
0,-1.0,1,1,0.0,,0.0011443330004112795,0.0,random_small,0
0,-1.0,1,1,0.0,,0.0011452500039013103,0.0,random_small,0
0,-1.03,4,1,0.0,,0.0011249062517890707,0.0,random_small,0
0,-1.0,1,1,0.0,,0.0011315830051898956,0.0,random_small,0
0,-1.0,1,1,0.0,,0.0011352500005159527,0.0,random_small,0
0,-1.0,1,1,0.0,,0.001128082993091084,0.0,random_small,0
0,-1.0,1,1,0.0,,0.0011403340031392872,0.0,random_small,0
0,-1.02,3,1,0.0,,0.0011237083332768332,0.0,random_small,0
0,-1.0,1,1,0.0,,0.0011158330016769469,0.0,random_small,0
0,-1.0,1,1,0.0,,0.0011349169944878668,0.0,random_small,0
0,-1.0,1,1,0.0,,0.0011384170065866783,0.1,random_small,0
0,-1.04,5,1,0.0,,0.0011158667999552562,0.1,random_small,0
1,0.83,18,0,0.0,10.0,0.0011283148342045024,0.1,random_small,0
0,-1.08,9,1,0.0,,0.001122805331963011,0.1,random_small,0
0,-1.02,3,1,0.0,,0.001156028006031799,0.1,random_small,0
0,-1.0,1,1,0.0,,0.0011734160070773214,0.1,random_small,0
0,-1.14,15,1,0.0,,0.0011389804033872981,0.1,random_small,0
0,-1.04,5,1,0.0,,0.0011442001996329054,0.1,random_small,0
0,-1.0,1,1,0.0,,0.0011243750050198287,0.1,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0011327761276334058,0.1,random_small,0
0,-1.0,1,1,0.0,,0.001141957996878773,0.5,random_small,0
0,-1.04,5,1,0.0,,0.0011326748033752664,0.5,random_small,0
0,-1.1099999999999999,12,1,0.0,,0.0011334548338102952,0.5,random_small,0
0,-1.08,9,1,0.0,,0.0011263796687772912,0.5,random_small,0
0,-1.06,7,1,0.0,,0.0011283930029354192,0.5,random_small,0
0,-1.0,1,1,0.0,,0.001133541009039618,0.5,random_small,0
0,-1.14,15,1,0.0,,0.0011389529313116024,0.5,random_small,0
0,-1.04,5,1,0.0,,0.0011639250005828217,0.5,random_small,0
0,-1.0,1,1,0.0,,0.0011230410018470138,0.5,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0011372864955774276,0.5,random_small,0
0,-1.0,1,1,0.0,,0.0011329159897286445,1.0,random_small,0
0,-1.04,5,1,0.0,,0.0011183248047018425,1.0,random_small,0
0,-1.04,5,1,0.0,,0.0011363583966158331,1.0,random_small,0
0,-1.08,9,1,0.0,,0.0011526621124681293,1.0,random_small,0
0,-1.06,7,1,0.0,,0.0011406788606629042,1.0,random_small,0
0,-1.0,1,1,0.0,,0.0011268329981248826,1.0,random_small,0
0,-1.1199999999999999,13,1,0.0,,0.001152111999824858,1.0,random_small,0
0,-1.04,5,1,0.0,,0.0011381832009647042,1.0,random_small,0
0,-1.0,1,1,0.0,,0.0011603330058278516,1.0,random_small,0
1,0.9299999999999999,8,0,0.0,0.0,0.0011183853730472038,1.0,random_small,0
0,-1.0,1,1,0.0,,0.0011805409885710105,2.0,random_small,0
0,-1.04,5,1,0.0,,0.001109483404434286,2.0,random_small,0
0,-1.04,5,1,0.0,,0.0011322164034936577,2.0,random_small,0
