success,total_return,path_length,collision,repeated_failure_rate,optimality_gap,inference_time_per_action,K,lambda_F,Map,Seed
1,0.94,7,0,0.25,2.0,0.0013576134640191282,10,0.5,easy,1
1,0.92,9,0,0.1,4.0,0.0013830693335168892,10,0.5,easy,1
1,0.9,11,0,0.08333333333333333,6.0,0.001386829482560808,10,0.5,easy,1
1,0.94,7,0,0.25,2.0,0.0013505538393344199,10,0.5,easy,1
0,-1.04,5,1,0.16666666666666666,,0.0014156084042042493,10,0.5,easy,1
1,0.94,7,0,0.5,2.0,0.0013466963677534036,10,0.5,easy,1
1,0.9,11,0,0.25,6.0,0.001377488634633747,10,0.5,easy,1
1,0.86,15,0,0.0,10.0,0.0016118251873801152,20,0.5,easy,1
1,0.82,19,0,0.0,14.0,0.0015672391378565838,20,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.001559505970882518,20,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0016389047460896628,20,0.5,easy,1
1,0.72,29,0,0.0,24.0,0.0015754913590077695,20,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0015488868978406703,20,0.5,easy,1
1,0.9,11,0,0.0,6.0,0.0015980948228389025,20,0.5,easy,1
1,0.96,5,0,0.0,0.0,0.001639741798862815,20,0.5,easy,1
1,0.96,5,0,0.0,0.0,0.0015373331494629382,20,0.5,easy,1
1,0.7599999999999999,25,0,0.0,20.0,0.001585550047457218,20,0.5,easy,1
1,0.9,11,0,0.0,6.0,0.0017576553774150934,30,0.5,easy,1
1,0.92,9,0,0.0,4.0,0.0017685138672176334,30,0.5,easy,1
1,0.92,9,0,0.0,4.0,0.0017245785695397193,30,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0017787203126187836,30,0.5,easy,1
1,0.92,9,0,0.0,4.0,0.001749625170810355,30,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0017392857199800865,30,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.001786827708461455,30,0.5,easy,1
1,0.96,5,0,0.0,0.0,0.0017468417994678021,30,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0017554284339504583,30,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0017688809894025326,30,0.5,easy,1
1,0.92,9,0,0.0,4.0,0.0019873657988177407,40,0.5,easy,1
1,0.88,13,0,0.0,8.0,0.001968967835777081,40,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0019792442076972555,40,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0019881783186325003,40,0.5,easy,1
1,0.92,9,0,0.0,4.0,0.002008347228790323,40,0.5,easy,1
1,0.94,7,0,0.0,2.0,0.0019534940365701914,40,0.5,easy,1
1,0.96,5,0,0.0,0.0,0.0019221748225390911,40,0.5,easy,1
1,0.92,9,0,0.0,4.0,0.0019412316744112307,40,0.5,easy,1
1,0.9,11,0,0.0,6.0,0.0019937880040908403,40,0.5,easy,1
1,0.96,5,0,0.0,0.0,0.001989324763417244,40,0.5,easy,1
0,-1.0,1,1,0.0,,0.0013920420315116644,5,0.5,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.0013905414380133152,5,0.5,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.0012843124568462372,5,0.5,obstacle,1
0,-1.02,3,1,0.5,,0.001233360730111599,5,0.5,obstacle,1
0,-1.02,3,1,0.5,,0.0012374443467706442,5,0.5,obstacle,1
0,-1.0,1,1,1.0,,0.0012334578204900026,5,0.5,obstacle,1
0,-1.02,3,1,1.0,,0.0014080141360561054,5,0.5,obstacle,1
0,-1.01,2,1,1.0,,0.001394666382111609,5,0.5,obstacle,1
0,-1.01,2,1,1.0,,0.0013447494711726904,5,0.5,obstacle,1
0,-1.03,4,1,0.6,,0.0012846770114265382,5,0.5,obstacle,1
0,-1.0,1,1,0.0,,0.0013952909503132105,10,0.5,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.0014736249577254057,10,0.5,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.001413187594152987,10,0.5,obstacle,1
0,-1.04,5,1,0.3333333333333333,,0.0013118000701069833,10,0.5,obstacle,1
0,-1.05,6,1,1.0,,0.0014161249467482169,10,0.5,obstacle,1
1,0.92,9,0,0.4,0.0,0.001359527853007118,10,0.5,obstacle,1
0,-1.02,3,1,1.0,,0.001442833725983898,10,0.5,obstacle,1
0,-1.04,5,1,0.6666666666666666,,0.0013333084527403117,10,0.5,obstacle,1
0,-1.04,5,1,0.3333333333333333,,0.0013828417751938105,10,0.5,obstacle,1
0,-1.01,2,1,1.0,,0.0014820625074207783,10,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0015253333064417045,20,0.5,obstacle,1
0,-1.01,2,1,1.0,,0.001538521028123796,20,0.5,obstacle,1
0,-1.03,4,1,0.6,,0.0015393435023725033,20,0.5,obstacle,1
1,0.9,11,0,0.3333333333333333,2.0,0.0015420531219040806,20,0.5,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.0015445835888385773,20,0.5,obstacle,1
0,-1.02,3,1,0.5,,0.0015321246658762295,20,0.5,obstacle,1
0,-1.02,3,1,1.0,,0.001552986369157831,20,0.5,obstacle,1
1,0.92,9,0,0.4,0.0,0.0015409027950631247,20,0.5,obstacle,1
1,0.86,15,0,0.3125,6.0,0.0015442137606441974,20,0.5,obstacle,1
1,0.9,11,0,0.3333333333333333,2.0,0.0015600608577105131,20,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0017046390566974878,30,0.5,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.0017358125187456608,30,0.5,obstacle,1
0,-1.01,2,1,1.0,,0.001747958012856543,30,0.5,obstacle,1
0,-1.07,8,1,0.3333333333333333,,0.001717921841191128,30,0.5,obstacle,1
0,-1.04,5,1,1.0,,0.0017880418337881566,30,0.5,obstacle,1
0,-1.02,3,1,0.5,,0.0017051249742507935,30,0.5,obstacle,1
1,0.92,9,0,0.6,0.0,0.0017118333424958917,30,0.5,obstacle,1
1,0.92,9,0,0.6,0.0,0.0017090788007610375,30,0.5,obstacle,1
1,0.88,13,0,0.5714285714285714,4.0,0.0017706666213388627,30,0.5,obstacle,1
1,0.88,13,0,0.6428571428571429,4.0,0.001751269124305019,30,0.5,obstacle,1
0,-1.02,3,1,0.0,,0.0018990139942616224,40,0.5,obstacle,1
0,-1.01,2,1,0.3333333333333333,,0.001964541501365602,40,0.5,obstacle,1
0,-1.03,4,1,0.6,,0.001949948025867343,40,0.5,obstacle,1
0,-1.01,2,1,1.0,,0.0019562289817258716,40,0.5,obstacle,1
1,0.88,13,0,0.42857142857142855,4.0,0.002006378311377305,40,0.5,obstacle,1
1,0.92,9,0,0.4,0.0,0.0019449118731750383,40,0.5,obstacle,1
1,0.92,9,0,0.4,0.0,0.0019841018753747144,40,0.5,obstacle,1
1,0.9,11,0,0.4166666666666667,2.0,0.0019683980763974514,40,0.5,obstacle,1
0,-1.02,3,1,1.0,,0.0020346942668159804,40,0.5,obstacle,1
1,0.88,13,0,0.42857142857142855,4.0,0.0019813397576889167,40,0.5,obstacle,1
0,-1.0,1,1,0.0,,0.0014107502065598965,5,0.5,deceptive,1
0,-1.02,3,1,0.25,,0.001379472358773152,5,0.5,deceptive,1
0,-1.01,2,1,0.3333333333333333,,0.0012935209088027477,5,0.5,deceptive,1
0,-1.03,4,1,0.6,,0.0012890726211480796,5,0.5,deceptive,1
0,-1.04,5,1,0.6666666666666666,,0.0012457585893571378,5,0.5,deceptive,1
0,-1.07,8,1,0.5555555555555556,,0.001229109417181462,5,0.5,deceptive,1
0,-1.01,2,1,1.0,,0.0012419999111443758,5,0.5,deceptive,1
0,-1.03,4,1,1.0,,0.0012377812527120113,5,0.5,deceptive,1
0,-1.01,2,1,1.0,,0.0012351039331406355,5,0.5,deceptive,1
0,-1.02,3,1,1.0,,0.0012287500624855359,5,0.5,deceptive,1
0,-1.03,4,1,0.0,,0.0013233022764325142,10,0.5,deceptive,1
